Date,Type,Name,Start,End,Duration
07/04/17,place,"Place in Christianshavn, København",2017-04-07T17:58:32+02:00,2017-04-07T18:10:17+02:00,705
07/04/17,move,walking,2017-04-07T18:10:17+02:00,2017-04-07T18:12:12+02:00,115
07/04/17,place,"Place in Christianshavn, København",2017-04-07T18:12:13+02:00,2017-04-08T00:00:00+02:00,20867
08/04/17,place,"Place in Christianshavn, København",2017-04-08T00:00:00+02:00,2017-04-08T10:55:53+02:00,39353
08/04/17,move,transport,2017-04-08T10:55:53+02:00,2017-04-08T11:00:54+02:00,301
08/04/17,place,"Place in Indre By, København",2017-04-08T11:00:55+02:00,2017-04-08T18:10:00+02:00,25745
08/04/17,move,transport,2017-04-08T18:10:00+02:00,2017-04-08T18:15:33+02:00,333
08/04/17,place,"Place in Christianshavn, København",2017-04-08T18:15:34+02:00,2017-04-08T18:29:05+02:00,811
08/04/17,move,transport,2017-04-08T18:29:05+02:00,2017-04-08T18:32:33+02:00,208
08/04/17,move,cycling,2017-04-08T18:32:33+02:00,2017-04-08T18:38:40+02:00,367
08/04/17,place,"Place in Amagerbro Station, København",2017-04-08T18:38:41+02:00,2017-04-08T19:57:57+02:00,4756
08/04/17,move,transport,2017-04-08T19:57:57+02:00,2017-04-08T20:06:15+02:00,498
08/04/17,place,"Place in Christianshavn, København",2017-04-08T20:06:16+02:00,2017-04-08T22:50:32+02:00,9856
08/04/17,move,transport,2017-04-08T22:50:32+02:00,2017-04-08T22:58:13+02:00,461
08/04/17,move,cycling,2017-04-08T22:58:13+02:00,2017-04-08T23:04:58+02:00,405
